user_id,course_id,course_name,topic_id,topic_name,progress
795,85,Intermediate Data Science,46,Pandas and NumPy,0.19
448,9,Advanced Data Science,26,Control Structures,0.84
267,26,Introduction Statistics,46,Variables and Data Types,0.31
412,28,Introduction Machine Learning,26,Control Structures,0.01
248,4,Advanced Statistics,47,Linear Regression,0.24
208,64,Basic Python,50,Variables and Data Types,0.73
985,36,Intermediate Data Science,50,Functions,0.45
243,66,Intermediate Python,9,Control Structures,0.4
465,40,Advanced Statistics,13,Pandas and NumPy,0.15
593,69,Basic Python,32,Linear Regression,0.05
481,76,Advanced Python,26,Pandas and NumPy,0.78
286,19,Advanced Python,28,Pandas and NumPy,0.76
315,93,Introduction Python,32,Pandas and NumPy,0.38
973,43,Introduction Python,3,Pandas and NumPy,0.73
757,79,Introduction Python,23,Pandas and NumPy,0.3
588,1,Advanced Data Science,39,Variables and Data Types,0.43
495,83,Basic Statistics,39,Functions,0.45
672,71,Basic Python,21,Control Structures,0.2
863,71,Introduction Statistics,48,Linear Regression,0.64
119,97,Advanced Python,9,Linear Regression,0.99
14,37,Basic Machine Learning,40,Control Structures,0.5
897,66,Basic Machine Learning,1,Functions,0.09
615,93,Introduction Data Science,43,Control Structures,0.47
498,31,Intermediate Python,1,Pandas and NumPy,0.65
396,23,Advanced Statistics,29,Linear Regression,0.39
967,83,Intermediate Machine Learning,47,Variables and Data Types,0.58
893,37,Basic Machine Learning,4,Control Structures,0.92
394,73,Basic Statistics,13,Functions,0.16
528,81,Basic Machine Learning,48,Linear Regression,0.41
747,44,Intermediate Python,6,Linear Regression,0.42
204,22,Intermediate Statistics,14,Linear Regression,0.84
144,53,Advanced Statistics,44,Variables and Data Types,0.55
346,37,Advanced Data Science,11,Control Structures,0.31
160,76,Intermediate Python,7,Linear Regression,0.6
966,77,Introduction Machine Learning,14,Linear Regression,0.21
941,86,Basic Python,36,Pandas and NumPy,0.01
389,21,Intermediate Python,43,Linear Regression,0.06
999,77,Introduction Python,34,Linear Regression,0.8
526,86,Advanced Python,4,Functions,0.35
619,42,Basic Data Science,24,Control Structures,0.17
972,47,Intermediate Statistics,35,Control Structures,0.21
284,45,Advanced Data Science,20,Functions,0.82
464,53,Intermediate Python,13,Control Structures,0.71
461,3,Advanced Data Science,15,Functions,0.45
503,45,Basic Python,35,Pandas and NumPy,0.91
438,86,Basic Python,26,Functions,0.17
127,9,Introduction Data Science,16,Linear Regression,0.4
863,8,Basic Statistics,7,Pandas and NumPy,0.65
51,94,Advanced Data Science,34,Linear Regression,0.28
226,50,Basic Machine Learning,39,Linear Regression,0.43
652,31,Introduction Data Science,37,Pandas and NumPy,0.0
957,7,Basic Python,14,Pandas and NumPy,0.87
484,25,Intermediate Python,31,Functions,0.7
609,42,Introduction Machine Learning,24,Linear Regression,0.72
435,19,Introduction Statistics,19,Linear Regression,0.5
844,97,Advanced Statistics,6,Variables and Data Types,0.27
804,22,Advanced Statistics,48,Variables and Data Types,0.99
611,87,Introduction Statistics,27,Functions,0.07
788,50,Intermediate Python,36,Control Structures,0.69
912,100,Advanced Python,41,Functions,0.43
904,91,Advanced Python,46,Pandas and NumPy,0.18
937,60,Intermediate Machine Learning,7,Pandas and NumPy,0.56
170,71,Advanced Statistics,5,Variables and Data Types,0.6
487,49,Intermediate Machine Learning,39,Pandas and NumPy,0.12
35,3,Intermediate Statistics,39,Variables and Data Types,0.4
630,44,Advanced Python,43,Control Structures,0.4
503,49,Introduction Python,20,Linear Regression,0.84
239,72,Introduction Data Science,14,Control Structures,0.66
664,87,Advanced Python,11,Pandas and NumPy,0.46
818,29,Intermediate Statistics,18,Functions,1.0
656,69,Basic Statistics,15,Functions,0.76
63,86,Basic Python,6,Variables and Data Types,0.93
880,91,Basic Machine Learning,46,Functions,0.9
823,46,Introduction Statistics,42,Functions,0.42
342,57,Introduction Data Science,24,Linear Regression,0.59
765,48,Basic Statistics,6,Variables and Data Types,0.37
341,78,Advanced Statistics,42,Pandas and NumPy,0.39
747,16,Basic Statistics,35,Control Structures,0.79
613,90,Basic Data Science,43,Variables and Data Types,0.04
805,10,Basic Statistics,15,Pandas and NumPy,0.95
895,85,Advanced Python,31,Pandas and NumPy,0.38
174,41,Intermediate Statistics,43,Control Structures,0.38
412,65,Basic Data Science,17,Variables and Data Types,0.54
911,42,Basic Python,9,Control Structures,0.26
982,56,Intermediate Machine Learning,8,Pandas and NumPy,0.18
513,92,Intermediate Machine Learning,38,Control Structures,0.52
485,10,Introduction Statistics,12,Control Structures,0.44
339,37,Intermediate Statistics,8,Control Structures,0.42
192,54,Introduction Machine Learning,28,Linear Regression,0.23
246,35,Advanced Statistics,46,Variables and Data Types,0.98
868,41,Basic Machine Learning,45,Linear Regression,0.48
77,33,Basic Data Science,32,Pandas and NumPy,0.72
193,9,Introduction Machine Learning,22,Pandas and NumPy,0.69
306,9,Introduction Python,49,Variables and Data Types,0.22
64,65,Intermediate Python,25,Variables and Data Types,0.98
35,42,Intermediate Python,40,Pandas and NumPy,0.83
50,40,Advanced Machine Learning,46,Control Structures,0.86
193,66,Basic Machine Learning,49,Pandas and NumPy,0.36
249,35,Basic Data Science,20,Control Structures,0.1
723,64,Intermediate Data Science,16,Control Structures,0.68
304,98,Introduction Python,39,Pandas and NumPy,0.82
332,33,Introduction Data Science,23,Pandas and NumPy,0.46
979,14,Intermediate Data Science,25,Linear Regression,0.17
359,18,Basic Statistics,33,Functions,0.5
563,52,Introduction Data Science,18,Control Structures,0.83
493,33,Intermediate Machine Learning,9,Variables and Data Types,0.13
566,24,Basic Machine Learning,6,Variables and Data Types,0.04
802,41,Intermediate Data Science,1,Linear Regression,0.52
948,10,Basic Machine Learning,8,Linear Regression,0.53
886,28,Basic Python,13,Variables and Data Types,1.0
739,71,Advanced Statistics,17,Variables and Data Types,0.36
260,35,Advanced Machine Learning,24,Linear Regression,0.65
696,39,Introduction Data Science,40,Variables and Data Types,0.05
210,64,Intermediate Statistics,23,Functions,0.47
508,74,Advanced Python,49,Linear Regression,0.28
654,22,Basic Data Science,37,Control Structures,0.79
110,11,Basic Python,27,Functions,0.27
365,50,Introduction Python,1,Variables and Data Types,0.01
884,9,Intermediate Statistics,11,Pandas and NumPy,0.51
788,87,Introduction Python,22,Linear Regression,0.81
990,17,Advanced Machine Learning,40,Linear Regression,0.51
756,79,Basic Statistics,12,Functions,0.44
329,12,Basic Python,25,Pandas and NumPy,0.57
734,80,Introduction Data Science,43,Control Structures,0.04
568,63,Introduction Data Science,30,Variables and Data Types,0.77
134,15,Introduction Statistics,20,Functions,0.34
193,66,Intermediate Statistics,48,Control Structures,0.94
241,79,Basic Machine Learning,48,Control Structures,0.18
832,32,Intermediate Statistics,12,Pandas and NumPy,0.2
352,88,Introduction Python,23,Control Structures,0.86
184,97,Introduction Statistics,50,Pandas and NumPy,0.28
539,57,Introduction Statistics,35,Variables and Data Types,0.24
903,45,Advanced Machine Learning,38,Control Structures,0.74
857,1,Advanced Machine Learning,46,Variables and Data Types,0.2
313,28,Advanced Python,13,Linear Regression,1.0
77,6,Introduction Python,48,Functions,0.29
936,82,Basic Machine Learning,44,Pandas and NumPy,0.56
164,94,Intermediate Python,21,Control Structures,0.38
729,27,Advanced Machine Learning,28,Functions,0.71
36,38,Advanced Statistics,42,Control Structures,0.72
778,88,Advanced Python,11,Linear Regression,0.19
441,77,Basic Statistics,22,Variables and Data Types,0.99
192,3,Introduction Machine Learning,27,Variables and Data Types,0.21
211,66,Advanced Python,34,Control Structures,0.14
145,35,Advanced Statistics,33,Pandas and NumPy,0.15
908,98,Basic Data Science,27,Functions,0.49
287,10,Advanced Python,30,Linear Regression,0.83
567,27,Basic Statistics,18,Control Structures,0.37
849,77,Introduction Python,42,Linear Regression,0.63
957,13,Intermediate Machine Learning,13,Pandas and NumPy,0.78
13,14,Intermediate Machine Learning,33,Pandas and NumPy,0.41
541,72,Intermediate Python,46,Functions,0.33
877,29,Advanced Machine Learning,27,Functions,0.06
800,84,Introduction Data Science,17,Variables and Data Types,0.2
187,24,Advanced Python,28,Control Structures,0.16
141,22,Intermediate Python,9,Variables and Data Types,0.06
835,99,Introduction Statistics,46,Pandas and NumPy,0.56
67,29,Introduction Python,9,Functions,0.65
270,44,Basic Data Science,24,Functions,0.49
547,48,Basic Machine Learning,21,Pandas and NumPy,0.4
623,90,Advanced Statistics,13,Pandas and NumPy,0.76
53,29,Introduction Statistics,27,Functions,0.44
491,99,Introduction Python,13,Control Structures,0.33
99,92,Advanced Data Science,7,Pandas and NumPy,0.13
647,63,Intermediate Statistics,19,Linear Regression,0.47
842,78,Basic Statistics,27,Variables and Data Types,0.78
175,28,Advanced Data Science,46,Pandas and NumPy,0.6
626,9,Intermediate Python,50,Variables and Data Types,0.59
764,61,Intermediate Machine Learning,8,Linear Regression,0.29
293,19,Advanced Data Science,17,Functions,0.42
457,70,Basic Python,22,Control Structures,0.24
869,59,Advanced Machine Learning,48,Variables and Data Types,0.49
832,84,Introduction Python,34,Functions,0.4
82,33,Intermediate Python,32,Variables and Data Types,0.47
515,30,Intermediate Statistics,23,Control Structures,0.34
573,1,Basic Python,45,Control Structures,0.84
336,71,Intermediate Python,46,Linear Regression,0.1
466,36,Intermediate Data Science,41,Variables and Data Types,0.53
885,61,Introduction Python,42,Variables and Data Types,0.53
153,96,Introduction Statistics,3,Pandas and NumPy,0.26
756,71,Introduction Machine Learning,36,Variables and Data Types,0.65
172,36,Basic Python,24,Pandas and NumPy,0.7
103,27,Introduction Data Science,23,Functions,0.44
605,3,Introduction Statistics,14,Variables and Data Types,0.56
901,15,Intermediate Data Science,1,Pandas and NumPy,0.57
529,74,Basic Data Science,22,Variables and Data Types,0.33
143,60,Intermediate Statistics,40,Variables and Data Types,0.19
302,43,Intermediate Machine Learning,32,Control Structures,0.81
340,91,Advanced Python,28,Linear Regression,0.89
426,51,Basic Python,12,Variables and Data Types,0.67
290,92,Introduction Python,47,Pandas and NumPy,0.72
606,58,Advanced Statistics,6,Linear Regression,0.84
219,72,Basic Data Science,6,Pandas and NumPy,0.83
315,68,Advanced Python,46,Control Structures,0.39
812,65,Intermediate Machine Learning,32,Control Structures,0.82
707,12,Introduction Statistics,10,Variables and Data Types,0.58
241,82,Advanced Machine Learning,30,Functions,0.29
744,75,Introduction Data Science,24,Linear Regression,0.99
175,93,Advanced Machine Learning,48,Linear Regression,0.2
932,14,Intermediate Machine Learning,4,Linear Regression,0.84
94,76,Advanced Data Science,10,Functions,0.09
42,32,Introduction Python,50,Functions,0.12
733,61,Advanced Statistics,18,Pandas and NumPy,0.1
119,68,Basic Python,30,Functions,0.18
550,64,Introduction Python,13,Pandas and NumPy,0.58
923,25,Introduction Statistics,12,Pandas and NumPy,0.54
282,52,Introduction Statistics,2,Variables and Data Types,0.89
798,15,Introduction Machine Learning,31,Control Structures,0.16
414,100,Intermediate Machine Learning,41,Linear Regression,0.39
119,66,Intermediate Python,17,Pandas and NumPy,0.03
897,2,Basic Data Science,9,Functions,0.39
244,85,Intermediate Data Science,21,Linear Regression,0.44
663,83,Basic Python,6,Control Structures,0.69
375,30,Introduction Python,17,Control Structures,0.41
145,52,Advanced Python,44,Functions,0.57
508,6,Advanced Python,10,Variables and Data Types,0.1
977,70,Introduction Python,11,Variables and Data Types,0.92
744,68,Intermediate Machine Learning,35,Linear Regression,0.09
325,77,Intermediate Data Science,21,Pandas and NumPy,0.87
640,58,Intermediate Statistics,4,Variables and Data Types,0.44
518,47,Basic Python,20,Variables and Data Types,0.94
988,46,Introduction Statistics,18,Control Structures,0.5
427,22,Intermediate Python,42,Pandas and NumPy,0.8
915,39,Introduction Data Science,19,Variables and Data Types,0.16
98,33,Basic Statistics,20,Control Structures,0.71
608,40,Basic Python,4,Control Structures,0.61
865,78,Advanced Machine Learning,48,Pandas and NumPy,0.0
934,71,Intermediate Data Science,30,Control Structures,0.64
98,24,Intermediate Statistics,37,Pandas and NumPy,0.04
715,31,Basic Data Science,4,Control Structures,0.05
630,98,Intermediate Data Science,16,Pandas and NumPy,0.37
807,73,Intermediate Data Science,36,Linear Regression,0.42
718,17,Advanced Data Science,2,Pandas and NumPy,0.38
518,96,Introduction Machine Learning,31,Functions,0.39
620,40,Basic Machine Learning,10,Pandas and NumPy,0.01
249,5,Advanced Data Science,47,Variables and Data Types,0.48
56,16,Advanced Python,30,Pandas and NumPy,0.53
921,22,Advanced Statistics,21,Functions,0.41
637,34,Basic Python,34,Pandas and NumPy,0.42
95,6,Intermediate Statistics,17,Control Structures,0.65
516,31,Basic Data Science,20,Pandas and NumPy,0.35
607,59,Basic Statistics,17,Functions,1.0
313,82,Intermediate Data Science,25,Linear Regression,0.43
590,85,Intermediate Statistics,43,Linear Regression,0.78
76,98,Introduction Machine Learning,25,Linear Regression,0.54
712,60,Basic Machine Learning,9,Control Structures,0.92
493,14,Intermediate Machine Learning,44,Pandas and NumPy,0.49
82,98,Advanced Data Science,34,Linear Regression,0.57
94,45,Intermediate Python,46,Variables and Data Types,0.58
932,46,Introduction Python,48,Control Structures,0.82
856,55,Advanced Statistics,20,Variables and Data Types,0.59
779,2,Intermediate Data Science,35,Linear Regression,0.04
839,32,Introduction Data Science,14,Control Structures,0.48
729,77,Intermediate Machine Learning,17,Variables and Data Types,0.92
374,88,Introduction Data Science,25,Linear Regression,0.27
795,24,Advanced Machine Learning,26,Pandas and NumPy,0.97
672,51,Intermediate Python,34,Variables and Data Types,0.59
24,47,Basic Statistics,7,Variables and Data Types,0.26
457,61,Introduction Statistics,18,Linear Regression,0.12
843,39,Introduction Data Science,42,Linear Regression,0.83
529,60,Introduction Python,48,Variables and Data Types,0.91
508,52,Basic Machine Learning,21,Functions,0.05
487,65,Intermediate Machine Learning,2,Control Structures,0.91
188,36,Introduction Statistics,28,Functions,0.45
407,22,Intermediate Python,18,Control Structures,0.41
302,89,Basic Machine Learning,7,Functions,0.54
44,82,Advanced Statistics,23,Functions,0.39
369,27,Basic Python,16,Functions,0.81
220,38,Advanced Statistics,8,Control Structures,0.33
535,32,Advanced Python,28,Pandas and NumPy,0.97
373,72,Advanced Python,37,Linear Regression,0.89
337,3,Introduction Machine Learning,34,Variables and Data Types,0.4
930,36,Basic Statistics,36,Pandas and NumPy,0.48
69,7,Advanced Python,15,Linear Regression,0.58
958,49,Basic Python,15,Linear Regression,0.05
294,73,Advanced Statistics,39,Control Structures,0.62
628,26,Basic Machine Learning,48,Variables and Data Types,0.41
776,97,Advanced Python,49,Functions,0.81
738,52,Intermediate Data Science,34,Functions,0.39
683,99,Basic Python,45,Linear Regression,0.51
281,69,Intermediate Machine Learning,27,Control Structures,0.22
560,79,Intermediate Statistics,11,Pandas and NumPy,0.7
976,78,Intermediate Data Science,42,Functions,0.68
829,100,Introduction Python,43,Control Structures,0.17
408,36,Basic Statistics,8,Functions,0.65
887,79,Basic Python,22,Variables and Data Types,0.45
503,56,Intermediate Machine Learning,13,Variables and Data Types,0.51
839,75,Advanced Statistics,8,Control Structures,0.4
383,63,Advanced Data Science,12,Functions,0.0
914,87,Basic Statistics,29,Functions,0.57
419,58,Advanced Python,7,Variables and Data Types,0.26
824,53,Advanced Machine Learning,32,Variables and Data Types,1.0
146,54,Intermediate Machine Learning,50,Variables and Data Types,0.12
146,92,Basic Data Science,46,Variables and Data Types,0.9
651,50,Advanced Data Science,22,Control Structures,0.28
873,14,Basic Data Science,45,Variables and Data Types,0.96
125,13,Intermediate Python,40,Functions,0.71
87,16,Introduction Python,50,Pandas and NumPy,0.73
883,74,Basic Python,13,Control Structures,0.2
444,13,Introduction Data Science,43,Pandas and NumPy,0.96
184,19,Basic Statistics,27,Variables and Data Types,0.11
593,4,Basic Python,22,Control Structures,0.07
402,51,Introduction Statistics,42,Pandas and NumPy,0.72
401,70,Basic Statistics,10,Control Structures,0.75
639,95,Basic Machine Learning,15,Functions,0.98
198,42,Advanced Python,40,Linear Regression,0.02
387,81,Advanced Data Science,44,Pandas and NumPy,0.85
682,16,Intermediate Machine Learning,8,Variables and Data Types,0.38
397,43,Advanced Python,15,Pandas and NumPy,0.79
487,49,Intermediate Python,14,Pandas and NumPy,0.36
967,35,Advanced Machine Learning,38,Variables and Data Types,0.29
972,94,Introduction Machine Learning,44,Functions,0.87
855,73,Intermediate Data Science,48,Functions,0.98
429,53,Intermediate Statistics,49,Linear Regression,0.59
422,62,Basic Data Science,5,Control Structures,0.54
701,67,Advanced Data Science,8,Pandas and NumPy,1.0
239,12,Basic Data Science,25,Pandas and NumPy,0.24
967,92,Basic Python,21,Linear Regression,0.21
288,21,Basic Machine Learning,5,Linear Regression,0.61
433,89,Intermediate Statistics,40,Pandas and NumPy,0.27
271,46,Basic Statistics,40,Control Structures,0.98
734,5,Basic Machine Learning,22,Linear Regression,0.65
458,61,Introduction Python,40,Control Structures,0.86
373,76,Advanced Machine Learning,41,Functions,0.85
839,92,Advanced Python,8,Control Structures,0.57
800,76,Introduction Python,9,Linear Regression,0.58
469,33,Introduction Python,9,Linear Regression,0.18
274,57,Advanced Data Science,48,Control Structures,0.06
250,58,Introduction Data Science,36,Variables and Data Types,1.0
779,13,Intermediate Python,31,Control Structures,0.34
375,34,Introduction Python,46,Functions,0.94
932,98,Advanced Data Science,21,Variables and Data Types,0.95
424,72,Intermediate Data Science,22,Variables and Data Types,0.8
65,72,Advanced Data Science,27,Pandas and NumPy,0.77
35,98,Introduction Statistics,12,Control Structures,0.65
539,46,Introduction Python,36,Control Structures,0.76
634,44,Introduction Machine Learning,30,Control Structures,0.15
702,26,Advanced Machine Learning,12,Pandas and NumPy,0.33
162,75,Advanced Statistics,35,Variables and Data Types,0.25
735,64,Introduction Data Science,24,Control Structures,0.99
54,14,Advanced Machine Learning,31,Variables and Data Types,0.45
166,55,Introduction Python,18,Linear Regression,0.67
137,5,Basic Statistics,21,Functions,0.19
156,17,Advanced Data Science,33,Functions,0.22
182,21,Basic Statistics,10,Variables and Data Types,0.92
98,68,Intermediate Statistics,6,Control Structures,0.45
29,67,Introduction Machine Learning,4,Linear Regression,0.96
223,28,Introduction Machine Learning,35,Linear Regression,0.54
384,28,Basic Machine Learning,9,Linear Regression,0.59
211,38,Introduction Machine Learning,50,Control Structures,0.43
779,41,Introduction Statistics,34,Functions,0.54
294,49,Intermediate Machine Learning,21,Control Structures,0.43
344,58,Basic Data Science,31,Pandas and NumPy,0.66
79,60,Basic Python,23,Functions,1.0
649,9,Basic Python,32,Variables and Data Types,0.12
592,17,Introduction Statistics,28,Variables and Data Types,0.81
585,36,Introduction Data Science,12,Control Structures,0.34
289,14,Basic Statistics,37,Linear Regression,0.6
107,22,Introduction Statistics,20,Variables and Data Types,0.44
312,52,Basic Data Science,35,Pandas and NumPy,0.33
469,54,Advanced Data Science,34,Functions,0.24
17,81,Basic Python,36,Linear Regression,0.17
396,32,Basic Python,29,Pandas and NumPy,0.63
287,66,Introduction Python,42,Functions,0.12
765,40,Introduction Statistics,9,Linear Regression,0.08
137,28,Introduction Python,37,Control Structures,0.63
976,90,Introduction Python,4,Linear Regression,0.64
485,58,Intermediate Python,13,Variables and Data Types,0.52
52,93,Introduction Statistics,38,Control Structures,0.92
841,82,Intermediate Statistics,33,Pandas and NumPy,0.12
704,51,Advanced Machine Learning,3,Pandas and NumPy,0.21
573,71,Introduction Machine Learning,30,Functions,0.96
710,97,Advanced Python,11,Functions,0.26
852,11,Intermediate Statistics,45,Linear Regression,0.36
122,6,Intermediate Data Science,13,Pandas and NumPy,0.6
634,13,Introduction Machine Learning,9,Functions,0.86
160,77,Basic Data Science,4,Functions,0.16
20,28,Advanced Machine Learning,17,Pandas and NumPy,0.46
656,28,Introduction Python,44,Functions,0.69
75,45,Advanced Machine Learning,41,Control Structures,0.46
397,49,Advanced Data Science,1,Linear Regression,0.58
747,19,Introduction Data Science,35,Linear Regression,0.01
721,27,Advanced Python,23,Variables and Data Types,0.06
691,90,Basic Machine Learning,32,Pandas and NumPy,0.97
698,93,Intermediate Python,8,Control Structures,0.48
247,39,Advanced Data Science,40,Variables and Data Types,0.51
352,48,Advanced Statistics,17,Variables and Data Types,0.53
710,10,Introduction Data Science,36,Linear Regression,0.14
349,38,Basic Statistics,30,Linear Regression,0.8
740,21,Introduction Python,9,Pandas and NumPy,0.99
622,90,Intermediate Python,17,Functions,0.96
222,65,Intermediate Python,35,Pandas and NumPy,0.79
740,51,Advanced Python,36,Variables and Data Types,0.97
391,60,Introduction Statistics,35,Control Structures,0.19
220,84,Advanced Statistics,34,Pandas and NumPy,0.23
682,91,Advanced Python,15,Control Structures,0.36
676,20,Introduction Statistics,31,Variables and Data Types,0.53
448,71,Intermediate Data Science,42,Variables and Data Types,0.17
418,1,Advanced Data Science,49,Linear Regression,0.99
178,77,Intermediate Machine Learning,11,Control Structures,0.55
998,31,Basic Statistics,48,Functions,0.4
941,34,Introduction Data Science,16,Variables and Data Types,0.56
220,6,Intermediate Data Science,20,Functions,0.06
938,12,Introduction Data Science,37,Pandas and NumPy,0.9
665,22,Intermediate Statistics,24,Control Structures,0.22
457,54,Introduction Statistics,9,Pandas and NumPy,0.72
941,57,Advanced Data Science,41,Functions,0.18
502,94,Basic Data Science,33,Pandas and NumPy,0.41
474,89,Basic Python,17,Linear Regression,0.89
589,32,Introduction Python,13,Control Structures,0.22
952,51,Basic Data Science,31,Control Structures,0.06
231,26,Basic Statistics,35,Pandas and NumPy,0.39
139,14,Basic Data Science,10,Variables and Data Types,0.94
57,83,Advanced Statistics,27,Linear Regression,0.71
893,38,Basic Python,25,Functions,0.32
730,77,Introduction Python,24,Control Structures,0.7
456,1,Advanced Statistics,38,Pandas and NumPy,0.69
191,80,Intermediate Machine Learning,7,Functions,0.08
525,20,Introduction Data Science,4,Linear Regression,0.19
820,87,Advanced Data Science,46,Functions,0.89
998,18,Advanced Data Science,37,Variables and Data Types,0.95
942,2,Basic Python,15,Control Structures,0.62
535,76,Basic Statistics,42,Control Structures,0.68
44,52,Intermediate Machine Learning,45,Control Structures,0.21
571,40,Introduction Statistics,26,Functions,0.58
917,87,Basic Data Science,26,Control Structures,0.67
649,100,Introduction Statistics,33,Linear Regression,0.06
947,42,Basic Python,28,Pandas and NumPy,0.29
1,98,Introduction Statistics,44,Control Structures,0.7
489,19,Basic Machine Learning,45,Functions,0.44
405,73,Intermediate Statistics,2,Linear Regression,0.26
639,17,Introduction Data Science,37,Functions,0.15
551,11,Advanced Data Science,17,Variables and Data Types,0.45
252,93,Intermediate Statistics,47,Control Structures,0.13
791,87,Basic Statistics,22,Variables and Data Types,0.55
702,52,Advanced Statistics,26,Functions,0.05
